1641,583,10:36:02
1632,554,10:36:02
1629,539,10:36:02
1623,519,10:36:02
1629,521,10:36:02
1614,496,10:36:02
1612,488,10:36:02
1606,484,10:36:02
1601,483,10:36:02
1601,468,10:36:02
1609,472,10:36:02
1604,471,10:36:02
1613,479,10:36:02
1706,456,10:36:02
1695,104,10:36:02
1720,76,10:36:02
1712,72,10:36:02
1728,61,10:36:02
1722,64,10:36:02
1727,62,10:36:02
1719,61,10:36:02
1710,55,10:36:03
1727,63,10:36:03
1724,69,10:36:03
1723,69,10:36:03
1716,68,10:36:03
1720,70,10:36:03
1711,65,10:36:03
1715,66,10:36:03
1714,68,10:36:03
1716,71,10:36:03
1709,67,10:36:03
1708,68,10:36:03
1711,71,10:36:03
1704,68,10:36:03
1712,72,10:36:03
1711,70,10:36:03
1704,64,10:36:03
1711,69,10:36:03
1701,67,10:36:03
1712,70,10:36:03
1707,66,10:36:03
1701,69,10:36:03
1707,71,10:36:03
1708,73,10:36:03
1709,75,10:36:03
1704,72,10:36:03
1709,74,10:36:03
1710,73,10:36:03
1706,76,10:36:03
1705,74,10:36:03
1704,73,10:36:04
1677,60,10:36:04
1636,52,10:36:04
1623,58,10:36:04
1621,58,10:36:04
1614,56,10:36:04
1611,59,10:36:04
1613,63,10:36:04
1613,65,10:36:04
1609,65,10:36:04
1615,62,10:36:04
1623,65,10:36:04
1631,66,10:36:04
1621,64,10:36:04
1612,69,10:36:04
1608,68,10:36:04
1614,69,10:36:04
1613,67,10:36:04
1601,67,10:36:04
1614,68,10:36:04
1612,66,10:36:04
1620,67,10:36:04
1613,66,10:36:04
1614,65,10:36:04
1607,66,10:36:04
1594,65,10:36:04
1606,65,10:36:04
1605,69,10:36:04
1578,64,10:36:04
1450,57,10:36:04
1440,61,10:36:05
1446,61,10:36:05
1414,66,10:36:05
1435,64,10:36:05
1436,64,10:36:05
1429,65,10:36:05
1416,66,10:36:05
1427,66,10:36:05
1420,66,10:36:05
1303,70,10:36:05
1165,84,10:36:05
1160,88,10:36:05
1157,93,10:36:05
1157,87,10:36:05
1156,91,10:36:05
1155,85,10:36:05
1161,82,10:36:05
1148,83,10:36:05
903,140,10:36:05
752,283,10:36:05
743,285,10:36:05
743,268,10:36:05
739,273,10:36:05
735,261,10:36:05
587,271,10:36:05
562,278,10:36:05
552,257,10:36:05
549,261,10:36:05
558,261,10:36:05
481,276,10:36:05
442,267,10:36:06
437,270,10:36:06
433,264,10:36:06
432,264,10:36:06
427,269,10:36:06
428,274,10:36:06
433,272,10:36:06
442,289,10:36:06
512,280,10:36:06
505,274,10:36:06
507,268,10:36:06
500,254,10:36:06
503,267,10:36:06
502,274,10:36:06
495,264,10:36:06
489,255,10:36:06
496,256,10:36:06
512,254,10:36:06
508,257,10:36:06
496,245,10:36:06
492,246,10:36:06
502,255,10:36:06
566,252,10:36:06
568,258,10:36:06
566,256,10:36:06
568,260,10:36:06
567,251,10:36:06
561,249,10:36:06
561,253,10:36:06
594,247,10:36:06
598,249,10:36:07
592,237,10:36:07
596,246,10:36:07
600,237,10:36:07
595,240,10:36:07
558,263,10:36:07
538,258,10:36:07
548,253,10:36:07
543,254,10:36:07
542,249,10:36:07
546,257,10:36:07
532,254,10:36:07
527,253,10:36:07
533,260,10:36:07
527,264,10:36:07
544,265,10:36:07
538,261,10:36:07
559,260,10:36:07
577,255,10:36:07
574,251,10:36:07
577,256,10:36:07
578,252,10:36:07
586,262,10:36:07
574,245,10:36:07
578,254,10:36:07
546,255,10:36:07
547,257,10:36:07
533,245,10:36:07
546,258,10:36:07
556,253,10:36:07
554,257,10:36:08
554,250,10:36:08
561,246,10:36:08
553,250,10:36:08
563,247,10:36:08
565,260,10:36:08
564,256,10:36:08
557,250,10:36:08
561,261,10:36:08
592,273,10:36:08
582,262,10:36:08
584,268,10:36:08
591,277,10:36:08
658,483,10:36:08
510,958,10:36:08
492,1015,10:36:08
589,886,10:36:08
602,578,10:36:08
604,419,10:36:08
587,340,10:36:08
578,308,10:36:08
575,300,10:36:08
571,288,10:36:08
562,285,10:36:08
556,272,10:36:08
551,265,10:36:08
544,262,10:36:08
546,260,10:36:08
541,257,10:36:08
546,263,10:36:08
551,260,10:36:09
549,264,10:36:09
548,275,10:36:09
540,265,10:36:09
554,284,10:36:09
547,274,10:36:09
540,283,10:36:09
539,274,10:36:09
544,293,10:36:09
551,288,10:36:09
545,284,10:36:09
557,290,10:36:09
556,303,10:36:09
545,299,10:36:09
482,315,10:36:09
486,318,10:36:09
484,315,10:36:09
485,318,10:36:09
472,309,10:36:09
499,322,10:36:09
501,307,10:36:09
504,313,10:36:09
506,307,10:36:09
512,306,10:36:09
505,296,10:36:09
514,311,10:36:09
521,312,10:36:09
